Region,Year,Month,Benchmark Price (Composite),Benchmark Price (Two-Storey),Benchmark Price (Apartment)
Barrie,2005,Jan,209000.0,220600.0,166400.0
Barrie,2005,Feb,212100.0,223200.0,166900.0
Barrie,2005,Mar,214800.0,227000.0,167400.0
Barrie,2005,Apr,216300.0,228100.0,167900.0
Barrie,2005,May,218400.0,229400.0,168400.0
Barrie,2005,Jun,218200.0,229600.0,168900.0
Barrie,2005,Jul,220500.0,233800.0,167400.0
Barrie,2005,Aug,221300.0,232300.0,166000.0
Barrie,2005,Sep,223200.0,236300.0,164700.0
Barrie,2005,Oct,224000.0,234500.0,169400.0
Barrie,2005,Nov,224200.0,235200.0,174200.0
Barrie,2005,Dec,228600.0,236900.0,179000.0
Barrie,2006,Jan,227600.0,238500.0,178400.0
Barrie,2006,Feb,228600.0,240200.0,177900.0
Barrie,2006,Mar,229500.0,240200.0,177200.0
Barrie,2006,Apr,232200.0,244900.0,177200.0
Barrie,2006,May,233800.0,246800.0,177400.0
Barrie,2006,Jun,232200.0,243800.0,177400.0
Barrie,2006,Jul,232800.0,246000.0,178200.0
Barrie,2006,Aug,233400.0,245100.0,178900.0
Barrie,2006,Sep,234100.0,245700.0,179700.0
Barrie,2006,Oct,232400.0,245500.0,181500.0
Barrie,2006,Nov,232800.0,245100.0,183400.0
Barrie,2006,Dec,229200.0,239800.0,185300.0
Barrie,2007,Jan,233200.0,245300.0,184200.0
Barrie,2007,Feb,236800.0,247100.0,183200.0
Barrie,2007,Mar,237600.0,250600.0,182200.0
Barrie,2007,Apr,238900.0,252600.0,186500.0
Barrie,2007,May,240300.0,251500.0,190700.0
Barrie,2007,Jun,244300.0,253000.0,195200.0
Barrie,2007,Jul,243900.0,254300.0,192200.0
Barrie,2007,Aug,244700.0,254100.0,189200.0
Barrie,2007,Sep,246600.0,258500.0,186200.0
Barrie,2007,Oct,245100.0,258100.0,188000.0
Barrie,2007,Nov,248300.0,258100.0,189800.0
Barrie,2007,Dec,247800.0,258100.0,191800.0
Barrie,2008,Jan,248300.0,260100.0,194000.0
Barrie,2008,Feb,251800.0,262700.0,196200.0
Barrie,2008,Mar,251800.0,263800.0,198300.0
Barrie,2008,Apr,253500.0,265600.0,199500.0
Barrie,2008,May,255200.0,265200.0,200700.0
Barrie,2008,Jun,255800.0,267800.0,201700.0
Barrie,2008,Jul,254100.0,267600.0,201200.0
Barrie,2008,Aug,253700.0,264500.0,200500.0
Barrie,2008,Sep,253700.0,265400.0,199800.0
Barrie,2008,Oct,249300.0,261800.0,197000.0
Barrie,2008,Nov,245300.0,255200.0,194300.0
Barrie,2008,Dec,240500.0,255000.0,191500.0
Barrie,2009,Jan,242800.0,253000.0,192700.0
Barrie,2009,Feb,242800.0,255700.0,193800.0
Barrie,2009,Mar,242200.0,256500.0,195000.0
Barrie,2009,Apr,244900.0,257900.0,195300.0
Barrie,2009,May,249500.0,262500.0,195700.0
Barrie,2009,Jun,251600.0,262900.0,196200.0
Barrie,2009,Jul,251200.0,262100.0,195000.0
Barrie,2009,Aug,250400.0,262100.0,193800.0
Barrie,2009,Sep,252900.0,262500.0,192800.0
Barrie,2009,Oct,255200.0,264700.0,193800.0
Barrie,2009,Nov,253100.0,265800.0,195000.0
Barrie,2009,Dec,252700.0,261200.0,196000.0
Barrie,2010,Jan,254500.0,267600.0,188700.0
Barrie,2010,Feb,257200.0,270000.0,191700.0
Barrie,2010,Mar,261400.0,274200.0,197500.0
Barrie,2010,Apr,263100.0,275300.0,202200.0
Barrie,2010,May,265400.0,278600.0,207000.0
Barrie,2010,Jun,263100.0,274900.0,201300.0
Barrie,2010,Jul,262100.0,272200.0,197500.0
Barrie,2010,Aug,259800.0,271800.0,198000.0
Barrie,2010,Sep,257500.0,271500.0,203200.0
Barrie,2010,Oct,256000.0,266500.0,200200.0
Barrie,2010,Nov,256800.0,268500.0,199300.0
Barrie,2010,Dec,254100.0,263800.0,195700.0
Barrie,2011,Jan,259100.0,270000.0,198800.0
Barrie,2011,Feb,261200.0,274900.0,198200.0
Barrie,2011,Mar,264400.0,278800.0,205600.0
Barrie,2011,Apr,268500.0,280600.0,208800.0
Barrie,2011,May,269400.0,281000.0,208800.0
Barrie,2011,Jun,270400.0,281500.0,206100.0
Barrie,2011,Jul,267300.0,278400.0,206600.0
Barrie,2011,Aug,269400.0,280200.0,200500.0
Barrie,2011,Sep,269000.0,279900.0,197200.0
Barrie,2011,Oct,269200.0,281900.0,197800.0
Barrie,2011,Nov,269600.0,281500.0,199200.0
Barrie,2011,Dec,268700.0,282100.0,201000.0
Barrie,2012,Jan,271700.0,281700.0,200000.0
Barrie,2012,Feb,271200.0,285900.0,194200.0
Barrie,2012,Mar,275200.0,289400.0,198500.0
Barrie,2012,Apr,280200.0,294100.0,195200.0
Barrie,2012,May,281900.0,292900.0,199300.0
Barrie,2012,Jun,283400.0,296500.0,202700.0
Barrie,2012,Jul,282300.0,296900.0,204100.0
Barrie,2012,Aug,286100.0,296300.0,208500.0
Barrie,2012,Sep,285900.0,298700.0,206300.0
Barrie,2012,Oct,281500.0,299600.0,206300.0
Barrie,2012,Nov,284000.0,299600.0,204500.0
Barrie,2012,Dec,285700.0,302900.0,201200.0
Barrie,2013,Jan,281700.0,299100.0,200800.0
Barrie,2013,Feb,285000.0,298700.0,202000.0
Barrie,2013,Mar,289800.0,302400.0,211800.0
Barrie,2013,Apr,291700.0,306600.0,208600.0
Barrie,2013,May,296100.0,308800.0,212800.0
Barrie,2013,Jun,297200.0,310400.0,212600.0
Barrie,2013,Jul,296700.0,312600.0,213000.0
Barrie,2013,Aug,298400.0,314800.0,214000.0
Barrie,2013,Sep,304900.0,317400.0,209800.0
Barrie,2013,Oct,300500.0,314300.0,208800.0
Barrie,2013,Nov,302400.0,313900.0,208300.0
Barrie,2013,Dec,293800.0,310200.0,203300.0
Barrie,2014,Jan,297200.0,312100.0,197200.0
Barrie,2014,Feb,306100.0,321000.0,205100.0
Barrie,2014,Mar,309300.0,322300.0,209000.0
Barrie,2014,Apr,312000.0,329100.0,212300.0
Barrie,2014,May,317400.0,334900.0,221100.0
Barrie,2014,Jun,317400.0,333300.0,216600.0
Barrie,2014,Jul,319700.0,336000.0,215000.0
