REF_DATE,GEO,DGUID,Sex,Age group,Persons with income,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2000,"Toronto, Ontario",2016S0503535,Both sexes,All age groups,Total persons with income,Number,223,units,0,v20797165,19.1.1.1,3371060,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,All age groups,"Persons with income under $5,000",Number,223,units,0,v20797166,19.1.1.2,415550,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,All age groups,"Persons with income of $5,000 and over",Number,223,units,0,v20797167,19.1.1.3,2955520,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,All age groups,"Persons with income of $10,000 and over",Number,223,units,0,v20797168,19.1.1.4,2584590,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,All age groups,"Persons with income of $15,000 and over",Number,223,units,0,v20797169,19.1.1.5,2204370,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,All age groups,"Persons with income of $20,000 and over",Number,223,units,0,v20797170,19.1.1.6,1900610,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,All age groups,"Persons with income of $25,000 and over",Number,223,units,0,v20797171,19.1.1.7,1642900,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,All age groups,"Persons with income of $35,000 and over",Number,223,units,0,v20797172,19.1.1.8,1164390,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,All age groups,"Persons with income of $50,000 and over",Number,223,units,0,v20797173,19.1.1.9,662620,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,All age groups,"Persons with income of $75,000 and over",Number,223,units,0,v20797174,19.1.1.10,269780,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,All age groups,"Persons with income of $100,000 and over",Number,223,units,0,v20797175,19.1.1.11,141020,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,All age groups,"Persons with income of $150,000 and over",Number,223,units,0,v20797176,19.1.1.12,65020,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,All age groups,"Persons with income of $200,000 and over",Number,223,units,0,v20797177,19.1.1.13,40420,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,All age groups,"Persons with income of $250,000 and over",Number,223,units,0,v20797178,19.1.1.14,28320,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,All age groups,Median total income,Dollars,81,units,0,v20797179,19.1.1.15,24100,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,All age groups,5-year percent change of median income,Percent,239,units,0,v20797180,19.1.1.16,15,,,t,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,0 to 24 years,Total persons with income,Number,223,units,0,v20797181,19.1.2.1,443390,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,0 to 24 years,"Persons with income under $5,000",Number,223,units,0,v20797182,19.1.2.2,138840,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,0 to 24 years,"Persons with income of $5,000 and over",Number,223,units,0,v20797183,19.1.2.3,304560,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,0 to 24 years,"Persons with income of $10,000 and over",Number,223,units,0,v20797184,19.1.2.4,189460,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,0 to 24 years,"Persons with income of $15,000 and over",Number,223,units,0,v20797185,19.1.2.5,123160,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,0 to 24 years,"Persons with income of $20,000 and over",Number,223,units,0,v20797186,19.1.2.6,81900,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,0 to 24 years,"Persons with income of $25,000 and over",Number,223,units,0,v20797187,19.1.2.7,53150,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,0 to 24 years,"Persons with income of $35,000 and over",Number,223,units,0,v20797188,19.1.2.8,18130,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,0 to 24 years,"Persons with income of $50,000 and over",Number,223,units,0,v20797189,19.1.2.9,4120,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,0 to 24 years,"Persons with income of $75,000 and over",Number,223,units,0,v20797190,19.1.2.10,590,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,0 to 24 years,"Persons with income of $100,000 and over",Number,223,units,0,v20797191,19.1.2.11,220,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,0 to 24 years,"Persons with income of $150,000 and over",Number,223,units,0,v20797192,19.1.2.12,90,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,0 to 24 years,"Persons with income of $200,000 and over",Number,223,units,0,v20797193,19.1.2.13,50,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,0 to 24 years,"Persons with income of $250,000 and over",Number,223,units,0,v20797194,19.1.2.14,40,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,25 to 34 years,Total persons with income,Number,223,units,0,v20797197,19.1.3.1,670120,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,25 to 34 years,"Persons with income under $5,000",Number,223,units,0,v20797198,19.1.3.2,78400,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,25 to 34 years,"Persons with income of $5,000 and over",Number,223,units,0,v20797199,19.1.3.3,591720,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,25 to 34 years,"Persons with income of $10,000 and over",Number,223,units,0,v20797200,19.1.3.4,532910,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,25 to 34 years,"Persons with income of $15,000 and over",Number,223,units,0,v20797201,19.1.3.5,476330,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,25 to 34 years,"Persons with income of $20,000 and over",Number,223,units,0,v20797202,19.1.3.6,420360,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,25 to 34 years,"Persons with income of $25,000 and over",Number,223,units,0,v20797203,19.1.3.7,364280,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,25 to 34 years,"Persons with income of $35,000 and over",Number,223,units,0,v20797204,19.1.3.8,243260,,,,0
2000,"Toronto, Ontario",2016S0503535,Both sexes,25 to 34 years,"Persons with income of $50,000 and over",Number,223,units,0,v20797205,19.1.3.9,111980,,,,0
