Date,Area,Composite_HPI,Two_Storey_HPI,Apartment_HPI,Composite_Benchmark,Two_Storey_Benchmark,Apartment_Benchmark
Jan 2005,Barrie_and_District,100,100,100,209000,220600,166400
Feb 2005,Barrie_and_District,101.5,101.2,100.3,212100,223200,166900
Mar 2005,Barrie_and_District,102.8,102.9,100.6,214800,227000,167400
Apr 2005,Barrie_and_District,103.5,103.4,100.9,216300,228100,167900
May 2005,Barrie_and_District,104.5,104,101.2,218400,229400,168400
Jun 2005,Barrie_and_District,104.4,104.1,101.5,218200,229600,168900
Jul 2005,Barrie_and_District,105.5,106,100.6,220500,233800,167400
Aug 2005,Barrie_and_District,105.9,105.3,99.8,221300,232300,166000
Sep 2005,Barrie_and_District,106.8,107.1,99,223200,236300,164700
Oct 2005,Barrie_and_District,107.2,106.3,101.8,224000,234500,169400
Nov 2005,Barrie_and_District,107.3,106.6,104.7,224200,235200,174200
Dec 2005,Barrie_and_District,109.4,107.4,107.6,228600,236900,179000
Jan 2006,Barrie_and_District,108.9,108.1,107.2,227600,238500,178400
Feb 2006,Barrie_and_District,109.4,108.9,106.9,228600,240200,177900
Mar 2006,Barrie_and_District,109.8,108.9,106.5,229500,240200,177200
Apr 2006,Barrie_and_District,111.1,111,106.5,232200,244900,177200
May 2006,Barrie_and_District,111.9,111.9,106.6,233800,246800,177400
Jun 2006,Barrie_and_District,111.1,110.5,106.6,232200,243800,177400
Jul 2006,Barrie_and_District,111.4,111.5,107.1,232800,246000,178200
Aug 2006,Barrie_and_District,111.7,111.1,107.5,233400,245100,178900
Sep 2006,Barrie_and_District,112,111.4,108,234100,245700,179700
Oct 2006,Barrie_and_District,111.2,111.3,109.1,232400,245500,181500
Nov 2006,Barrie_and_District,111.4,111.1,110.2,232800,245100,183400
Dec 2006,Barrie_and_District,109.7,108.7,111.4,229200,239800,185300
Jan 2007,Barrie_and_District,111.6,111.2,110.7,233200,245300,184200
Feb 2007,Barrie_and_District,113.3,112,110.1,236800,247100,183200
Mar 2007,Barrie_and_District,113.7,113.6,109.5,237600,250600,182200
Apr 2007,Barrie_and_District,114.3,114.5,112.1,238900,252600,186500
May 2007,Barrie_and_District,115,114,114.6,240300,251500,190700
Jun 2007,Barrie_and_District,116.9,114.7,117.3,244300,253000,195200
Jul 2007,Barrie_and_District,116.7,115.3,115.5,243900,254300,192200
Aug 2007,Barrie_and_District,117.1,115.2,113.7,244700,254100,189200
Sep 2007,Barrie_and_District,118,117.2,111.9,246600,258500,186200
Oct 2007,Barrie_and_District,117.3,117,113,245100,258100,188000
Nov 2007,Barrie_and_District,118.8,117,114.1,248300,258100,189800
Dec 2007,Barrie_and_District,118.6,117,115.3,247800,258100,191800
Jan 2008,Barrie_and_District,118.8,117.9,116.6,248300,260100,194000
Feb 2008,Barrie_and_District,120.5,119.1,117.9,251800,262700,196200
Mar 2008,Barrie_and_District,120.5,119.6,119.2,251800,263800,198300
Apr 2008,Barrie_and_District,121.3,120.4,119.9,253500,265600,199500
May 2008,Barrie_and_District,122.1,120.2,120.6,255200,265200,200700
Jun 2008,Barrie_and_District,122.4,121.4,121.2,255800,267800,201700
Jul 2008,Barrie_and_District,121.6,121.3,120.9,254100,267600,201200
Aug 2008,Barrie_and_District,121.4,119.9,120.5,253700,264500,200500
Sep 2008,Barrie_and_District,121.4,120.3,120.1,253700,265400,199800
Oct 2008,Barrie_and_District,119.3,118.7,118.4,249300,261800,197000
Nov 2008,Barrie_and_District,117.4,115.7,116.8,245300,255200,194300
Dec 2008,Barrie_and_District,115.1,115.6,115.1,240500,255000,191500
