Description,Year,Total_Returns,Total_Income,10000,15000,20000,25000,30000,35000,40000,45000,50000,60000,70000,80000,90000,100000,150000,250000,500000,Total_Tax_Returns
Toronto,2017,4814770,2.53E+11,920380,420140,420270,321980,246730,227270,217590,207420,197570,316850,256120,212420,168910,151070,309470,139870,80730,4814790
Hamilton,2017,597420,30975792000,83120,47220,47360,43610,32850,31470,31450,30700,29530,45390,36620,30080,23380,21290,39840,16240,7240,597390
Niagara,2017,335910,14660909000,44040,29930,31280,29820,21940,21190,20400,18970,18070,25400,18510,14140,10110,9250,15360,5320,2190,335920
Guelph,2017,120580,6540254000,15910,8410,8350,7910,6120,6270,6220,6290,6690,10660,8170,6490,4980,4530,8520,3610,1460,120590
Barrie,2017,154660,7442638000,21890,12720,12520,11570,8830,8450,8340,7700,7380,11680,9490,7780,6200,5710,9980,3210,1210,154660
Toronto,2014,4573270,2.22E+11,948480,430060,406980,304230,236580,219850,209880,202000,180250,297590,236640,192290,151480,128880,253980,108170,65930,4573270
Hamilton,2014,576160,27760945000,86870,48980,47920,42350,32630,31480,31260,31040,26840,43680,34220,27300,21290,19140,33060,12380,5740,576180
Niagara,2014,322800,13160517000,47330,30780,32160,28920,21510,20670,19730,18740,15290,23420,16390,12190,9200,7840,12940,4020,1680,322810
Guelph,2014,113670,5671404000,16320,8560,8270,7490,6030,6220,6080,6340,5900,10140,7600,5790,4540,3670,6990,2680,1050,113670
Barrie,2014,146030,6579521000,22640,12810,12310,10860,8550,8170,7710,7660,6580,11170,8540,7130,5730,4830,8060,2490,830,146070
Toronto,2010,4249280,1.89E+11,951670,430610,386620,280460,228190,216670,206800,193230,169040,274540,211130,161080,126760,95840,184210,79140,53280,4249270
Hamilton,2010,543620,23586427000,92940,49320,49670,39290,32650,32310,31540,29270,25130,39600,30470,23610,18860,13090,22600,8830,4440,543620
Niagara,2010,311730,11659629000,51360,31160,34520,26860,22030,21030,19670,17590,13940,21170,14500,10460,8080,5600,9430,2910,1420,311730
Guelph,2010,105740,4749362000,17320,8720,8390,7000,6340,6060,6080,6180,5550,8890,6510,4760,3830,2610,4870,1860,780,105750
Barrie,2010,140360,5751240000,24570,12700,13000,10130,8620,8040,8070,7470,6430,10270,8110,6490,4960,3440,5720,1660,690,140370
,,,,,,,,,,,,,,,,,,,,,
Toronto,,13%,33%,-3%,-2%,9%,15%,8%,5%,5%,7%,17%,15%,21%,32%,33%,58%,68%,77%,52%,13%
Hamilton,,10%,31%,-11%,-4%,-5%,11%,1%,-3%,0%,5%,18%,15%,20%,27%,24%,63%,76%,84%,63%,10%
Niagara,,8%,26%,-14%,-4%,-9%,11%,0%,1%,4%,8%,30%,20%,28%,35%,25%,65%,63%,83%,54%,8%
Guelph,,14%,38%,-8%,-4%,0%,13%,-3%,3%,2%,2%,21%,20%,25%,36%,30%,74%,75%,94%,87%,14%
Barrie,,10%,29%,-11%,0%,-4%,14%,2%,5%,3%,3%,15%,14%,17%,20%,25%,66%,74%,93%,75%,10%
,,,,,,,,,,,,,,,,,,,,,
Toronto,,8%,17%,0%,0%,5%,8%,4%,1%,1%,5%,7%,8%,12%,19%,20%,34%,38%,37%,24%,8%
Hamilton,,6%,18%,-7%,-1%,-4%,8%,0%,-3%,-1%,6%,7%,10%,12%,16%,13%,46%,46%,40%,29%,6%
Niagara,,4%,13%,-8%,-1%,-7%,8%,-2%,-2%,0%,7%,10%,11%,13%,17%,14%,40%,37%,38%,18%,4%
Guelph,,7%,19%,-6%,-2%,-1%,7%,-5%,3%,0%,3%,6%,14%,17%,22%,19%,41%,44%,44%,35%,7%
Barrie,,4%,14%,-8%,1%,-5%,7%,-1%,2%,-4%,3%,2%,9%,5%,10%,16%,40%,41%,50%,20%,4%
,,,,,,,,,,,,,,,,,,,,,
Toronto,,5%,14%,-3%,-2%,3%,6%,4%,3%,4%,3%,10%,6%,8%,10%,12%,17%,22%,29%,22%,5%
Hamilton,,4%,12%,-4%,-4%,-1%,3%,1%,0%,1%,-1%,10%,4%,7%,10%,10%,11%,21%,31%,26%,4%
Niagara,,4%,11%,-7%,-3%,-3%,3%,2%,3%,3%,1%,18%,8%,13%,16%,10%,18%,19%,32%,30%,4%
Guelph,,6%,15%,-3%,-2%,1%,6%,1%,1%,2%,-1%,13%,5%,8%,12%,10%,23%,22%,35%,39%,6%
Barrie,,6%,13%,-3%,-1%,2%,7%,3%,3%,8%,1%,12%,5%,11%,9%,8%,18%,24%,29%,46%,6%
